"Subproject","Deployment Name","Treatment","Deploy ID","Actual Lon","Actual Lat","Deployment.Date","Deployment.Time","Retrieval.Date","Retrieval.Time","TrapNights"
"Alamance County","Alamance_A_1","","d33018",-79.268,36.201,"2017-09-14","12:34:35","2017-09-28","08:54:53",14
"Alamance County","Alamance_A_2","","d33019",-79.272,36.1946,"2017-09-14","13:19:50","2017-09-28","09:29:41",14
"Alamance County","Alamance_A_3","","d33020",-79.277,36.1993,"2017-09-14","13:39:49","2017-09-28","10:06:24",14
"Alamance County","Alamance_A_4","","d33222",-79.2718,36.19817,"2017-09-28","09:16:54","2017-10-12","09:42:44",14
"Alamance County","Alamance_A_5","","d33223",-79.2767,36.19534,"2017-09-28","09:53:55","2017-10-12","09:50:13",14
"Alamance County","Alamance_A_6","","d33224",-79.2732,36.2023,"2017-09-28","10:37:57","2017-10-12","10:18:41",14
"Alamance County","Alamance_B_1","","d33633",-79.3573,35.87066,"2017-09-28","12:17:35","2017-10-12","11:49:51",14
"Alamance County","Alamance_B_2","","d33634",-79.3554,35.86895,"2017-09-28","13:09:17","2017-10-12","12:22:01",14
"Alamance County","Alamance_B_3","Alamance County:Open","d33635",-79.3583,35.86842,"2017-09-28","12:32:46","2017-10-12","11:56:27",14
"Alamance County","Alamance_B_4","","d33636",-79.3542,35.87133,"2017-09-28","12:56:05","2017-10-12","12:09:15",14
"Alamance County","Alamance_B_5","","d33637",-79.3538,35.86886,"2017-09-28","13:20:07","2017-10-12","12:25:26",14
"Alamance County","Alamance_B_6","","d33638",-79.355,35.86778,"2017-09-28","12:32:42","2017-10-12","11:40:08",14
"Alamance County","Alamance_B_7","","d33639",-79.3519,35.86877,"2017-09-28","13:53:06","2017-10-12","12:47:45",14
"Alamance County","Alamance_B_8","Alamance County:Open","d33640",-79.3535,35.86686,"2017-09-28","13:41:52","2017-10-12","12:44:16",14
"Alamance County","Alamance_C_1","","d33631",-79.485,35.915,"2017-09-14","08:44:02","2017-09-30","13:54:05",16
"Alamance County","Alamance_C_2","","d33632",-79.475,35.915,"2017-09-14","09:32:35","2017-09-30","13:40:30",16
"Alamance County","Alamance_D_1","","d33681",-79.5364,36.13315,"2017-09-14","09:46:26","2017-09-28","07:47:02",14
"Alamance County","Alamance_D_10","Alamance County:Open","d33690",-79.3623,36.22335,"2017-09-14","17:50:03","2017-09-28","12:46:11",14
"Alamance County","Alamance_D_11","Alamance County:Large Forest","d33691",-79.5302,36.12548,"2017-09-28","11:05:26","2017-10-12","09:29:44",14
"Alamance County","Alamance_D_12","Alamance County:Large Forest","d33692",-79.5325,36.12419,"2017-09-28","11:28:42","2017-10-12","09:40:47",14
"Alamance County","Alamance_D_13","Alamance County:Open","d33693",-79.3643,36.22538,"2017-09-28","12:58:07","2017-10-12","10:46:42",14
"Alamance County","Alamance_D_14","Alamance County:Open","d33694",-79.3677,36.22477,"2017-09-28","13:11:32","2017-10-12","10:51:52",14
"Alamance County","Alamance_D_15","Alamance County:Open","d33695",-79.37,36.22528,"2017-09-28","13:25:08","2017-10-12","10:58:27",14
"Alamance County","Alamance_D_16","Alamance County:Open","d33696",-79.3738,36.22501,"2017-09-28","13:47:51","2017-10-12","11:07:37",14
"Alamance County","Alamance_D_17","Alamance County:Large Forest","d33697",-79.3748,36.22308,"2017-09-28","14:21:35","2017-10-12","11:33:33",14
"Alamance County","Alamance_D_18","Alamance County:Large Forest","d33698",-79.3729,36.2224,"2017-09-28","14:46:41","2017-10-12","12:42:17",14
"Alamance County","Alamance_D_2","Alamance County:Open","d33682",-79.5354,36.13144,"2017-09-14","10:12:29","2017-09-28","07:58:06",14
"Alamance County","Alamance_D_20","Alamance County:Open","d33700",-79.3637,36.22195,"2017-10-02","00:06:30","2017-10-12","13:02:26",10
"Alamance County","Alamance_D_3","","d33683",-79.5356,36.12963,"2017-09-18","10:49:41","2017-09-28","08:17:58",10
"Alamance County","Alamance_D_4","","d33684",-79.5334,36.12756,"2017-09-14","12:16:30","2017-09-28","08:36:22",14
"Alamance County","Alamance_D_5","Alamance County:Large Forest","d33685",-79.5283,36.12919,"2017-09-14","13:06:45","2017-09-28","09:03:25",14
"Alamance County","Alamance_D_6","Alamance County:Large Forest","d33686",-79.5294,36.12724,"2017-09-14","13:46:55","2017-09-28","09:32:47",14
"Alamance County","Alamance_D_7","Alamance County:Large Forest","d33687",-79.5316,36.12835,"2017-09-17","06:29:56","2017-09-28","09:46:24",11
"Alamance County","Alamance_D_8","Alamance County:Open","d33688",-79.3689,36.22308,"2017-09-14","16:46:12","2017-09-28","12:33:09",14
"Alamance County","Alamance_D_9","Alamance County:Open","d33689",-79.3659,36.22258,"2017-09-14","17:17:15","2017-09-28","12:39:29",14
"Alamance County","Barr_S_Alamance1","Alamance County:Large Forest","d35277",-79.39583,35.98694,"2017-10-19","17:47:02","2017-11-10","13:27:40",22
